Season_year,Season_div,Date,OPP,Result,T Score,O Score,MIN,FG,FGM,FGA,FG%,3PT,3PTM,3PTA,3P%,FT,FTM,FTA,FT%,REB,AST,BLK,STL,PF,TO,PTS
2012-2013,Post,Thu 5/16,SAS,L,82,94,40.0,10-25,10,25,40.0,2-8,2,8,25.0,0-0,0,0,0.0,4,6,1,1,2,3,22
2012-2013,Post,Tue 5/14,SAS,L,91,109,35.0,4-14,4,14,28.6,1-7,1,7,14.3,0-0,0,0,0.0,0,8,0,1,1,4,9
2012-2013,Post,Sun 5/12,SAS,W,97,87,39.0,7-15,7,15,46.7,5-10,5,10,50.0,3-3,3,3,100.0,6,4,0,0,2,2,22
2012-2013,Post,Fri 5/10,SAS,L,92,102,42.0,5-17,5,17,29.4,3-9,3,9,33.3,3-3,3,3,100.0,2,8,0,2,3,3,16
2012-2013,Post,Wed 5/8,SAS,W,100,91,43.0,7-20,7,20,35.0,2-6,2,6,33.3,6-9,6,9,66.7,4,4,0,1,2,2,22
2012-2013,Post,Mon 5/6,SAS,L,127,129,58.0,18-35,18,35,51.4,6-14,6,14,42.9,2-2,2,2,100.0,4,11,0,2,3,6,44
2012-2013,Post,Thu 5/2,DEN,W,92,88,42.0,6-14,6,14,42.9,4-8,4,8,50.0,6-6,6,6,100.0,4,8,0,2,3,7,22
2012-2013,Post,Tue 4/30,DEN,L,100,107,42.0,7-19,7,19,36.8,1-6,1,6,16.7,0-0,0,0,0.0,4,8,1,0,5,2,15
2012-2013,Post,Sun 4/28,DEN,W,115,101,33.0,10-16,10,16,62.5,6-11,6,11,54.5,5-5,5,5,100.0,3,7,0,4,4,2,31
2012-2013,Post,Fri 4/26,DEN,W,110,108,38.0,8-17,8,17,47.1,4-7,4,7,57.1,9-9,9,9,100.0,6,11,0,2,4,3,29
2012-2013,Post,Tue 4/23,DEN,W,131,117,42.0,13-23,13,23,56.5,4-10,4,10,40.0,0-0,0,0,0.0,5,13,0,3,4,1,30
2012-2013,Post,Sat 4/20,DEN,L,95,97,43.0,7-20,7,20,35.0,4-10,4,10,40.0,1-1,1,1,100.0,4,9,0,2,2,5,19
2013-2014,Post,Sat 5/3,LAC,L,121,126,46.0,7-17,7,17,41.2,3-7,3,7,42.9,16-16,16,16,100.0,5,9,0,3,4,2,33
2013-2014,Post,Thu 5/1,LAC,W,100,99,45.0,9-24,9,24,37.5,2-8,2,8,25.0,4-7,4,7,57.1,4,9,0,0,1,2,24
2013-2014,Post,Tue 4/29,LAC,L,103,113,44.0,5-10,5,10,50.0,4-7,4,7,57.1,3-3,3,3,100.0,3,4,0,2,2,8,17
2013-2014,Post,Sun 4/27,LAC,W,118,97,42.0,10-20,10,20,50.0,7-14,7,14,50.0,6-7,6,7,85.7,7,7,1,1,3,2,33
2013-2014,Post,Thu 4/24,LAC,L,96,98,43.0,5-12,5,12,41.7,3-8,3,8,37.5,3-4,3,4,75.0,2,15,0,1,3,3,16
2013-2014,Post,Mon 4/21,LAC,L,98,138,31.0,9-17,9,17,52.9,1-7,1,7,14.3,5-5,5,5,100.0,1,8,0,2,4,2,24
2013-2014,Post,Sat 4/19,LAC,W,109,105,45.0,6-16,6,16,37.5,2-6,2,6,33.3,0-0,0,0,0.0,3,7,0,3,1,7,14
2014-2015,Post,Tue 6/16,CLE,W,105,97,43.0,8-19,8,19,42.1,3-11,3,11,27.3,6-8,6,8,75.0,6,8,0,3,3,3,25
2014-2015,Post,Sun 6/14,CLE,W,104,91,42.0,13-23,13,23,56.5,7-13,7,13,53.8,4-4,4,4,100.0,7,4,0,2,2,5,37
2014-2015,Post,Thu 6/11,CLE,W,103,82,41.0,8-17,8,17,47.1,4-7,4,7,57.1,2-2,2,2,100.0,2,7,0,1,1,4,22
2014-2015,Post,Tue 6/9,CLE,L,91,96,44.0,10-20,10,20,50.0,7-13,7,13,53.8,0-0,0,0,0.0,6,6,1,3,2,6,27
2014-2015,Post,Sun 6/7,CLE,L,93,95,42.0,5-23,5,23,21.7,2-15,2,15,13.3,7-8,7,8,87.5,6,5,0,0,4,6,19
2014-2015,Post,Thu 6/4,CLE,W,108,100,43.0,10-20,10,20,50.0,2-6,2,6,33.3,4-4,4,4,100.0,4,8,0,2,1,4,26
2014-2015,Post,Wed 5/27,HOU,W,104,90,42.0,7-21,7,21,33.3,3-11,3,11,27.3,9-12,9,12,75.0,8,6,0,5,3,3,26
2014-2015,Post,Mon 5/25,HOU,L,115,128,31.0,7-18,7,18,38.9,6-13,6,13,46.2,3-3,3,3,100.0,1,4,0,0,3,0,23
2014-2015,Post,Sat 5/23,HOU,W,115,80,35.0,12-19,12,19,63.2,7-9,7,9,77.8,9-10,9,10,90.0,5,7,1,2,2,4,40
2014-2015,Post,Thu 5/21,HOU,W,99,98,37.0,13-21,13,21,61.9,5-11,5,11,45.5,2-3,2,3,66.7,3,6,0,1,2,6,33
2014-2015,Post,Tue 5/19,HOU,W,110,106,39.0,13-22,13,22,59.1,6-11,6,11,54.5,2-3,2,3,66.7,6,5,0,2,3,1,34
2014-2015,Post,Fri 5/15,MEM,W,108,95,39.0,11-25,11,25,44.0,8-13,8,13,61.5,2-2,2,2,100.0,6,10,0,0,3,4,32
2014-2015,Post,Wed 5/13,MEM,W,98,78,33.0,6-16,6,16,37.5,6-13,6,13,46.2,0-0,0,0,0.0,7,5,0,6,0,5,18
2014-2015,Post,Mon 5/11,MEM,W,101,84,39.0,11-22,11,22,50.0,4-9,4,9,44.4,7-9,7,9,77.8,8,5,0,2,4,4,33
2014-2015,Post,Sat 5/9,MEM,L,89,99,40.0,8-21,8,21,38.1,2-10,2,10,20.0,5-7,5,7,71.4,2,6,1,1,1,4,23
2014-2015,Post,Tue 5/5,MEM,L,90,97,41.0,7-19,7,19,36.8,2-11,2,11,18.2,3-4,3,4,75.0,5,6,0,0,0,3,19
2014-2015,Post,Sun 5/3,MEM,W,101,86,38.0,8-18,8,18,44.4,4-8,4,8,50.0,2-2,2,2,100.0,2,7,0,4,1,4,22
2014-2015,Post,Sat 4/25,NOP,W,109,98,38.0,11-20,11,20,55.0,6-8,6,8,75.0,11-12,11,12,91.7,8,9,0,1,4,5,39
